lot_no,artist,title,year_birth,year_death,price_sold,estimate,signature,medium,dim_0,dim_1,year_creation,provenence,image_url
539,Jacques Lipchitz,Figure with Guitar: Maquette No. 2,1891,1973,"USD 20,000","USD 12,000 - USD 18,000","signed, numbered and marked with the artist's thumbprint 'JLipchitz 1/7' (on the back of the base)",bronze with dark brown patina,20.7,21.9,Conceived in 1923,"
    Marlborough-Gerson Gallery, Inc., New York.
    
    Acquired from the above by the present owner, 1996.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0539_000(jacques_lipchitz_figure_with_guitar_maquette_no_2).jpg?w=400
493,Ossip Zadkine,L'autre personnage,1890,1967,"USD 20,000","USD 20,000 - USD 30,000",signed and stamped with foundry mark 'O. ZADKINE BISCEGLIA CIRE PERDUE' (on the top of the base),bronze with gray patina,54.6,N.A.,Conceived in 1939; this bronze version cast by 1960,"
    Edgardo Acosta Gallery, Ltd., Beverly Hills.
    
    Acquired from the above by the family of the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0493_000(ossip_zadkine_lautre_personnage).jpg?w=400
313,Léonard Tsuguharu Foujita,Les deux amies,1886,1968,"USD 372,500","USD 350,000 - USD 450,000",signed and dated 'Foujita 1926' and signed again in Japanese (lower right),oil on canvas,60.3,54.6,Painted in 1926,"
    Acquired by the family of the present owner,
    
     circa
    
    1975.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0313_000(leonard_tsuguharu_foujita_les_deux_amies).jpg?w=400
333,Auguste Rodin,"Main droite N
    
     o
    
    1, petit modèle",1840,1917,"USD 51,250","USD 40,000 - USD 60,000",signed 'A. Rodin' (on the right side); inscribed with foundry mark ' G.Rudier..Fond.Paris.' (on the wrist),bronze with dark brown patina,11.8,N.A.,Conceived by 1901; this bronze version cast in 1962,"
    Musée Rodin, Paris.
    
    Edgardo Acosta Gallery, Beverly Hills (acquired from the above, April 1963).
    
    Anon. sale, Sotheby Parke Bernet, Inc., New York, 7 June 1984, lot 23.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0333_000(auguste_rodin_main_droite_no_1_petit_modele).jpg?w=400
364,Edgar Degas,Danse espagnole,1834,1917,"USD 360,500","USD 200,000 - USD 300,000",N.A.,"stamped with signature, numbered and stamped with foundry mark 'Degas 20/G A.A. HÉBRARD CIRE PERDUE ' (Lugt 658; on the top of the base)",HER.D,HER,N.A.,"
    Durand-Ruel Galleries, New York (December 1922).
    
    P. Marianotti, Milan.
    
    Private collection, Stockholm.
    
    M. Knoedler & Co., Inc., New York (acquired from the above, March 1965).
    
    Leonard Hutton Gallery, New York (acquired from the above, June 1968).
    
    Harriet Griffin Gallery, New York.
    
    Acquired from the above by the present owner, March 1981.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0364_000(edgar_degas_danse_espagnole).jpg?w=400
372,Charles Camoin,Autoportrait,1879,1965,"USD 22,500","USD 12,000 - USD 18,000",signed and dedicated 'à André Bacqué son ami Ch. Camoin' (upper left),oil on board,32.7,23.8,Painted   circa  1905,"
    André Bacqué, Paris (gift from the artist).
    
    Jean Bacqué, Paris (by descent from the above).
    
    Private collection, Surrey; sale, Christie's, London, 26 March 1999, lot 7.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0372_000(charles_camoin_autoportrait).jpg?w=400
519,Eugène Boudin,"Portrieux, le port marée basse",1824,1898,"USD 87,500","USD 50,000 - USD 70,000","signed, dated and inscribed 'E. Boudin 73 a Portrieux' (lower left)",oil on canvas,37,58.7,Painted in 1873,"
    Galerie Bernheim-Jeune et Cie., Paris.
    
    Paul Melchior Robinow, Hamburg; sale, Cassirer-Helbing, Berlin, 30 November 1928, lot 54.
    
    Galerie Georges Petit, Paris.
    
    Dhainaut collection, Paris.
    
    Anon. sale, Sotheby Parke Bernet & Co., London, 4 July 1979, lot 67.
    
    Walter Klinkhoff Gallery, Inc., Montreal (acquired at the above sale).
    
    Acquired from the above by the present owner, 1979.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0519_000(eugene_boudin_portrieux_le_port_maree_basse).jpg?w=400
325,Maurice de Vlaminck,Eglise sous la neige,1876,1958,"USD 87,500","USD 40,000 - USD 60,000",signed 'Vlaminck' (lower right),oil on canvas,46.5,55.1,Painted   circa  1927-1929,"
    O.B. James, New York.
    
    Lettie Corlett, Oakland, California.
    
    Maxwell Galleries, San Francisco.
    
    Acquired from the above by the family of the present owner, May 1969.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0325_000(maurice_de_vlaminck_eglise_sous_la_neige).jpg?w=400
427,Armand Guillaumin,Autoportrait,1841,1927,"USD 68,750","USD 70,000 - USD 100,000",signed 'Guillaumin' (lower left),oil on canvas,45.3,37.4,Painted   circa  1888,"
    Maxwell Galleries, San Francisco.
    
    Acquired from the above by the late owners, March 1973.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0427_000(armand_guillaumin_autoportrait).jpg?w=400
470,Henry Moore,Seated Mother and Baby,1898,1986,"USD 81,250","USD 40,000 - USD 60,000",signed and numbered 'Moore 5/9' (on the back of the base),bronze with brown and green patina,20,N.A.,Conceived in 1978,"
    Weintraub Gallery, New York.
    
    Kent Fine Art, Inc., New York.
    
    Acquired from the above by the late owners, July 1986.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0470_000(henry_moore_seated_mother_and_baby).jpg?w=400
309,Léonard Tsuguharu Foujita,Jeune fille épluchant des pommes de terre,1886,1968,"USD 300,000","USD 200,000 - USD 300,000",signed 'Foujita' (lower left),oil on canvas,35,27.4,N.A.,"
    Lew and Edie Wasserman, Los Angeles (
    
     circa
    
    1960); Estate sale, Christie's, New York, 3 November 2011, lot 222.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0309_000(leonard_tsuguharu_foujita_jeune_fille_epluchant_des_pommes_de_terre).jpg?w=400
466,Alberto Giacometti,Petit monstre I,1901,1966,"USD 125,000","USD 60,000 - USD 80,000",signed and numbered 'A. Giacometti 3/6' (on the left side of the base); inscribed with foundry mark 'Susse F <sup>  r </sup> Paris' (on the back of the base),bronze with brown patina,9.5,N.A.,Conceived in 1953; this bronze version cast between 1955-1961,"
    Private collection, France (1972-1979).
    
    Davlyn Gallery, New York.
    
    James Goodman Gallery, New York (acquired from the above).
    
    Acquired from the above by the late owners, November 1981.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0466_000(alberto_giacometti_petit_monstre_i).jpg?w=400
523,Eugène Boudin,"Voiliers, marée basse",1824,1898,"USD 37,500","USD 30,000 - USD 50,000",signed and dated 'E. Boudin - 92' (lower left),oil on panel,35.5,46.8,Painted in 1892,"
    James Vigeveno Galleries, Los Angeles.
    
    Acquired from the above by the family of the present owner,
    
     circa
    
    1960.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0523_000(eugene_boudin_voiliers_maree_basse).jpg?w=400
489,Maurice de Vlaminck,Nature morte aux fruits,1876,1958,"USD 21,250","USD 20,000 - USD 40,000",signed 'Vlaminck' (lower left),oil on canvas,55,46,N.A.,"
    Galerie de l'Elysée (Alex. Maguy), Paris.
    
    Private Collection, New York .
    
    Anon. sale, Parke-Bernet Galleries, New York, 3 February 1954, lot 60.
    
    Maison Bernard, Galería de Arte S.R.L., Caracas.
    
    Acquired from the above by the present owner, January 1978.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0489_000(maurice_de_vlaminck_nature_morte_aux_fruits).jpg?w=400
430,Raoul Dufy,Le bassin de Deauville,1877,1953,"USD 588,500","USD 300,000 - USD 400,000",signed and dated 'Raoul Dufy 38' (lower right),oil on canvas,33,82.5,Painted in 1938,"
    Mr. and Mrs. Max Miller, New York.
    
    M. Knoedler & Co., Inc, New York (acquired from the above).
    
    Acquired from the above by the late owners, August 1963.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0430_000(raoul_dufy_le_bassin_de_deauville).jpg?w=400
467,Henry Moore,Mother and Child,1898,1986,"USD 12,500","USD 8,000 - USD 12,000",N.A.,bronze with brown patina,12.7,N.A.,Conceived in 1935; this bronze version cast in 1967,"
    Marlborough Gallery, Inc., New York.
    
    Kent Fine Art, Inc., New York.
    
    Acquired from the above by the late owners, July 1986.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0467_000(henry_moore_mother_and_child).jpg?w=400
522,Maximilien Luce,Le Pont des Arts,1858,1941,"USD 8,125","USD 8,000 - USD 12,000",N.A.,stamped with signature 'Luce' (lower right),37.8,46,Painted in 1930,"
    Estate of the artist.
    
    Anon. sale, Tajan, Paris, 18 December 2002, lot 33.
    
    Anon. sale, Christie's, New York, 14 September 2005, lot 108.
    
    Franklin Bowles Galleries, San Francisco (acquired at the above sale).
    
    Acquired from the above by the present owner,
    
     circa
    
    2007.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0522_000(maximilien_luce_le_pont_des_arts).jpg?w=400
308,Léonard Tsuguharu Foujita,Jeune fille sur le toit de Paris,1886,1968,"USD 150,000","USD 80,000 - USD 120,000",signed twice 'Foujita f.' (lower left) and 'Foujita f' (lower right),oil on canvas,18,14.3,Painted   circa  1955,"
    Galerie Paul Pétridès, Paris (1955).
    
    Acquired by the family of the present owner,
    
     circa
    
    2000.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0308_000(leonard_tsuguharu_foujita_jeune_fille_sur_le_toit_de_paris).jpg?w=400
471,Jean (Hans) Arp,Configuration angoissante,1886,1966,"USD 16,250","USD 12,000 - USD 18,000",N.A.,numbered '0/10' (on the underside),11.8,N.A.,Conceived and cast in 1957,"
    Iris Clert, Paris (gift from the artist).
    
    James Goodman Gallery, Inc., New York.
    
    Acquired from the above by the late owners, April 1981.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0471_000(jean_arp_configuration_angoissante).jpg?w=400
426,Gustave Loiseau,"Le Pont Corneille, Rouen",1865,1935,"USD 87,500","USD 80,000 - USD 120,000",signed ‘G Loiseau   ’  (lower right),oil on canvas,60.4,73,Painted in 1927,"
    Galerie Durand-Ruel et Cie., Paris.
    
    Galerie Commeter, Hamburg.
    
    Private collection, Germany.
    
    Private collection, Germany (by descent from the above).
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0426_000(gustave_loiseau_le_pont_corneille_rouen).jpg?w=400
324,Bernard Buffet,"Douarnenez, les quais du grand port",1928,1999,"USD 212,500","USD 120,000 - USD 180,000","signed 'Bernard Buffet' (upper right) and dated '1972' (upper left); titled 'DOUA[R]NENEZ, Les Quais du Grand Port' (on the reverse)",oil on canvas,89.7,130.2,Painted in 1972,"
    Galerie Maurice Garnier, Paris.
    
    Private collection, Hamburg.
    
    Private collection, Germany; sale, Sotheby's, Paris, 13 December 2007, lot 91.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0324_000(bernard_buffet_douarnenez_les_quais_du_grand_port).jpg?w=400
373,Auguste Herbin,Portrait d'homme,1882,1960,"USD 225,000","USD 60,000 - USD 80,000",signed and dated 'herbin 1909' (lower left),oil on canvas,40.8,33.4,Painted in 1909,"
    Galerie de l'Effort Moderne (Léonce Rosenberg), Paris.
    
    Achim Moeller Fine Art, New York.
    
    Acquired from the above by the late owner, September 1999.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0373_000(auguste_herbin_portrait_dhomme).jpg?w=400
365,Jean (Hans) Arp,Buste silvestre,1886,1966,"USD 275,000","USD 100,000 - USD 150,000","signed, numbered and inscribed with foundry mark 'ARP 5/5 E.GODARD Fondr.' (on the underside)",bronze with brown patina,42.6,N.A.,Conceived in 1963; this bronze version cast in 1972,"
    Brook Street Gallery, Ltd., London (by 1973).
    
    Davlyn Gallery, New York.
    
    Acquired from the above by the present owner, January 1980.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0365_000(jean_arp_buste_silvestre).jpg?w=400
332,Auguste Rodin,"Etude pour
    
    Le Secret",1840,1917,"USD 100,000","USD 30,000 - USD 50,000",signed 'A. Rodin' (on the front); inscribed with foundry mark 'Alexis Rudier Fondeur Paris' (on the back),bronze with dark brown and green patina,12.4,N.A.,Conceived in 1910; this bronze version cast between 1940-1952,"
    Musée Rodin, Paris.
    
    Anon. sale, Sotheby Parke Bernet, Inc., New York, 7 June 1984, lot 21A.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0332_000(auguste_rodin_etude_pour_le_secret).jpg?w=400
484,Jacques Lipchitz,Enchanted Flute,1891,1973,"USD 37,500","USD 30,000 - USD 50,000",signed and marked with artist's thumbprint 'JLipchitz' (on the top of the base),bronze with dark brown and green patina,90.2,N.A.,Conceived in 1959; unique,"
    Yulla Lipchitz, New York (wife of the artist).
    
    Acquired from the above by the present owner,
    
     circa
    
    1990.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0484_000(jacques_lipchitz_enchanted_flute).jpg?w=400
312,Léonard Tsuguharu Foujita,Le Médaillon,1886,1968,"USD 106,250","USD 100,000 - USD 150,000",signed and inscribed 'Foujita Paris' (lower left),oil on canvas,25.2,20,Painted   1953,"
    Dominion Gallery, Montreal.
    
    François Dupré, Morges, Switzerland (acquired from the above,
    
     circa
    
    1960); Estate sale, Christie's, New York, 2 November 2011, lot 321.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0312_000(leonard_tsuguharu_foujita_le_medaillon).jpg?w=400
538,Baltasar Lobo,Pensive à genoux,1910,1993,"USD 75,000","USD 70,000 - USD 100,000",signed and numbered 'Lobo 7/8' (on the top of the base); inscribed with foundry mark 'Susse Fondeur. Paris' (on the back of the base),bronze with green and brown patina,63.5,N.A.,Conceived in 1977,"
    Estate of the artist.
    
    Acquired from the above by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0538_000(baltasar_lobo_pensive_a_genoux).jpg?w=400
492,Ossip Zadkine,Le Compositeur,1890,1967,"USD 37,500","USD 25,000 - USD 35,000","signed, numbered and inscribed with foundry mark 'OZADKINE 2/8 Susse fondeur Paris' (on the back)",bronze with brown patina,62.2,N.A.,Conceived in 1935,"
    Edgardo Acosta Gallery, Ltd., Beverly Hills.
    
    Acquired from the above by the family of the present owner, March 1974.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0492_000(ossip_zadkine_le_compositeur).jpg?w=400
304,Rembrandt Bugatti,Jument et son poulain,1884,1916,"USD 432,500","USD 300,000 - USD 500,000","signed, numbered and stamped with foundry mark 'R Bugatti (4) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",bronze with brown patina,40,60,Conceived in 1907,"
    Jean-Henri Jansen, Paris.
    
    Alain Delon, Paris; sale, Sotheby's, London, 4 April 1990, lot 262.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0304_000(rembrandt_bugatti_jument_et_son_poulain).jpg?w=400
514,Jean-Pierre Cassigneul,Dans le pré,1935,N.A.,"USD 62,500","USD 30,000 - USD 50,000",signed 'CASSIGNEUL' (lower left),oil on canvas,81,60,N.A.,"
    Galerie Taménaga, Tokyo.
    
    Private collection, Japan (1993).
    
    Acquired from the above by the present owners.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0514_000(jean-pierre_cassigneul_dans_le_pre).jpg?w=400
451,Maximilien Luce,Péniches sur la Seine,1858,1941,"USD 15,000","USD 12,000 - USD 18,000",signed 'Luce' (lower right),oil on canvas,49.3,65.1,N.A.,"
    Anon. sale, Sotheby's, New York, 23 February 2006, lot 27.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0451_000(maximilien_luce_peniches_sur_la_seine).jpg?w=400
328,Georges Rouault,Fille de cirque (Reine de Saba),1871,1958,"USD 348,500","USD 180,000 - USD 250,000",signed 'G Rouault' (lower right),oil on canvas laid down on canvas,57.2,41,Painted in 1928-1939,"
    Galerie Max Kaganovitch, Paris.
    
    Acquired from the above by the family of the present owner, 1952.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0328_000(georges_rouault_fille_de_cirque).jpg?w=400
543,Maximilien Luce,Bateaux dans le port de Rotterdam,1858,1941,"USD 62,500","USD 30,000 - USD 50,000",signed and dated 'Luce 1919' (lower left),oil on canvas,60.1,73.2,Painted in 1919,"
    Galerie M.L. de Boer, Amsterdam.
    
    Anon. sale, Sotheby Mak Van Waay, B.V., Amsterdam, 24 April 1978, lot 404.
    
    Acquired by the present owner, by 1990.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0543_000(maximilien_luce_bateaux_dans_le_port_de_rotterdam).jpg?w=400
406,René Magritte,L'évidence éternelle: genoux,1898,1967,"USD 672,500","USD 300,000 - USD 500,000",N.A.,oil on canvas,20.3,21,Painted in 1954,"
    Gift from the artist to the present owner, 1960.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0406_000(rene_magritte_levidence_eternelle_genoux).jpg?w=400
410,Jean (Hans) Arp,"Vase, Amphore enceinte",1886,1966,"USD 348,500","USD 250,000 - USD 350,000",signed twice 'Arp' (on the reverse) and signed again 'Arp' (on a label affixed to the reverse),painted wood relief in the artist's frame,120,95,Executed in 1953,"
    Acquired from the artist by the family of the present owner, April 1954.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0410_000(jean_arp_vase_amphore_enceinte).jpg?w=400
386,Gerhard Marcks,Zehspieler,1889,1981,"USD 15,000","USD 5,000 - USD 7,000",signed with monogram (on the right buttock),bronze with brown patina,23.5,N.A.,Conceived in 1942,"
    Kuno Sponholz, New York.
    
    Fine Arts Associates (Otto M. Gerson), New York.
    
    Anon. sale, Sotheby's, New York, 20 February 1997, lot 92.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0386_000(gerhard_marcks_zehspieler).jpg?w=400
502,Aristide Maillol,Princesse Bibesco,1861,1944,"USD 15,000","USD 15,000 - USD 20,000",signed with monogram (on the top of the base); numbered and inscribed with foundry mark '2/6 E.GODARD Fondeur Paris' (on the back of the base),bronze with dark brown patina,14.8,N.A.,Conceived in 1895-1896; this bronze version cast   circa  1985,"
    Galerie Nichido, Tokyo.
    
    Acquired from the above by the present owner, 1988.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0502_000(aristide_maillol_princesse_bibesco).jpg?w=400
447,Maurice de Vlaminck,Village au bord de la rivière,1876,1958,"USD 100,000","USD 60,000 - USD 80,000",signed 'Vlaminck' (lower right),oil on canvas,54,65.1,N.A.,"
    Private collection, Palm Beach; Estate sale, Christie's, New York, 5 May 2005, lot 272.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0447_000(maurice_de_vlaminck_village_au_bord_de_la_riviere).jpg?w=400
335,Eugène Boudin,"Trouville, Scène de plage",1824,1898,"USD 187,500","USD 180,000 - USD 250,000",signed 'E. Boudin' (lower right) and dated '80' (lower left),oil on cradled panel,13.8,26.5,Painted in 1880,"
    A.R. Ball, New York (by 1962).
    
    Arthur Tooth & Sons, Ltd., London.
    
    Acquired from the above by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0335_000(eugene_boudin_trouville_scene_de_plage).jpg?w=400
323,Maurice Utrillo,Rue Saint-Rustique à Montmartre,1883,1955,"USD 81,250","USD 70,000 - USD 100,000",signed 'Maurice. Utrillo. V.' (lower right),oil on canvas,46,37.7,Painted in 1920,"
    Acquired by the late owners,
    
     circa
    
    1965.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0323_000(maurice_utrillo_rue_saint-rustique_a_montmartre).jpg?w=400
421,After Paul Gauguin,Cylindre au Christ en croix,1848,1903,"USD 22,500","USD 25,000 - USD 35,000",N.A.,with raised initials 'PGO' (on the top); stamped with foundry mark 'C. VALSUANI CIRE PERDUE' (on the back),49.6,N.A.,Conceived   circa  1894,"
    Stuart Pivar, New York.
    
    Acquired from the above by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0421_000(after_paul_gauguin_cylindre_au_christ_en_croix).jpg?w=400
358,Eugène Boudin,"Villerville, Rivage, marée montante octobre",1824,1898,"USD 612,500","USD 300,000 - USD 500,000","signed, dated and inscribed 'E. Boudin - 93. 25 Octobre 93 Villerville' (lower right)",oil on canvas,55.6,92.3,Painted on 25 October 1893,"
    Galerie Durand-Ruel et Cie., Paris.
    
    Dieterle collection, Paris.
    
    E.J. van Wisselingh & Co., Amsterdam.
    
    Gordon C. Edwards, Ottawa (by 1937).
    
    M. Knoedler & Co., Inc. New York.
    
    Mr. and Mrs. Arthur Murray, Honolulu (acquired from the above, by 1962).
    
    Acquired from the above by the present owner, 2006.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0358_000(eugene_boudin_villerville_rivage_maree_montante_octobre).jpg?w=400
476,Georges Braque,Petite tête de cheval,1882,1963,"USD 43,750","USD 18,000 - USD 25,000","signed, numbered and inscribed with foundry mark 'G. Braque 4/6 Susse Fondeur Paris' (on the base)",bronze with brown patina,14.2,14,Conceived in 1941,"
    Werner and Margaret Josten, New York (by 1975).
    


    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0476_000(georges_braque_petite_tete_de_cheval).jpg?w=400
499,Blanche Hoschedé Monet,"Venise, la Salute",1865,1947,"USD 30,000","USD 25,000 - USD 35,000",N.A.,oil on canvasboard,38,45.7,N.A.,"
    Estate of the artist.
    
    A. Testolini, Venice.
    
    Private collection, France.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0499_000(blanche_hoschede_monet_venise_la_salute).jpg?w=400
